Date/Time,Type,Profit USD
2021-01-04 05:45:00+00:00,Short Entry,
2021-01-04 06:00:00+00:00,Short Exit (SL),-138.53333333332557
2021-01-04 08:30:00+00:00,Short Entry,
2021-01-04 09:15:00+00:00,Short Exit (SL),-360.9333333333052
2021-01-04 10:15:00+00:00,Long Entry,
2021-01-04 10:15:00+00:00,Long Exit (SL),-214.19999999998254
2021-01-04 10:30:00+00:00,Short Entry,
2021-01-04 10:45:00+00:00,Short Exit,-56.66666666667879
2021-01-04 10:45:00+00:00,Long Entry,
2021-01-04 11:00:00+00:00,Long Exit,31.666666666678793
2021-01-04 11:00:00+00:00,Short Entry,
2021-01-04 11:15:00+00:00,Short Exit,-20.0
2021-01-04 11:15:00+00:00,Long Entry,
2021-01-04 11:30:00+00:00,Long Exit,46.66666666664241
2021-01-04 11:30:00+00:00,Short Entry,
2021-01-04 11:45:00+00:00,Short Exit,-108.3333333333212
2021-01-04 11:45:00+00:00,Long Entry,
2021-01-04 12:00:00+00:00,Long Exit (SL),-185.20000000000437
2021-01-04 12:30:00+00:00,Long Entry,
2021-01-04 12:45:00+00:00,Long Exit (TP),205.80000000001746
2021-01-04 13:00:00+00:00,Long Entry,
2021-01-04 13:30:00+00:00,Long Exit,45.0
2021-01-04 13:30:00+00:00,Short Entry,
2021-01-04 13:45:00+00:00,Short Exit,-73.33333333335759
2021-01-04 13:45:00+00:00,Long Entry,
2021-01-04 13:45:00+00:00,Long Exit (SL),-200.86666666666133
2021-01-04 14:00:00+00:00,Short Entry,
2021-01-04 14:30:00+00:00,Short Exit (TP),333.1999999999971
2021-01-04 14:45:00+00:00,Short Entry,
2021-01-04 15:30:00+00:00,Short Exit,510.0
2021-01-04 15:30:00+00:00,Long Entry,
2021-01-04 15:45:00+00:00,Long Exit (SL),-743.066666666673
2021-01-04 16:30:00+00:00,Short Entry,
2021-01-04 17:00:00+00:00,Short Exit (TP),1826.0666666666657
2021-01-04 17:30:00+00:00,Long Entry,
2021-01-04 17:45:00+00:00,Long Exit,86.6666666666788
2021-01-04 17:45:00+00:00,Short Entry,
2021-01-04 18:15:00+00:00,Short Exit (SL),-1357.0666666666875
2021-01-04 18:30:00+00:00,Long Entry,
2021-01-04 19:30:00+00:00,Long Exit,-161.6666666666788
2021-01-04 19:30:00+00:00,Short Entry,
2021-01-04 20:00:00+00:00,Short Exit,83.33333333335759
2021-01-04 20:00:00+00:00,Long Entry,
2021-01-04 21:45:00+00:00,End of Session Long Exit,831.6666666666788
2021-01-05 05:15:00+00:00,Long Entry,
2021-01-05 05:30:00+00:00,Long Exit,76.6666666666788
2021-01-05 05:30:00+00:00,Short Entry,
2021-01-05 06:00:00+00:00,Short Exit (SL),-296.26666666667006
2021-01-05 06:45:00+00:00,Long Entry,
2021-01-05 07:00:00+00:00,Long Exit (SL),-293.8000000000102
2021-01-05 07:15:00+00:00,Short Entry,
2021-01-05 07:30:00+00:00,Short Exit,-86.66666666664241
2021-01-05 07:30:00+00:00,Long Entry,
2021-01-05 07:45:00+00:00,Long Exit (SL),-336.5333333333183
2021-01-05 08:00:00+00:00,Short Entry,
2021-01-05 08:00:00+00:00,Short Exit (SL),-575.7333333333372
2021-01-05 09:30:00+00:00,Short Entry,
2021-01-05 09:45:00+00:00,Short Exit,-166.6666666666424
2021-01-05 09:45:00+00:00,Long Entry,
2021-01-05 10:30:00+00:00,Long Exit,98.3333333333212
2021-01-05 10:30:00+00:00,Short Entry,
2021-01-05 10:45:00+00:00,Short Exit,-68.3333333333212
2021-01-05 10:45:00+00:00,Long Entry,
